"domain,""date"",""plUrls"",""views"",""clicks"",""ctr"",""revenue"",""epc"",""rpm"",""percentFinalised"",""percentEstimate"",""percentForecast"",""Status"""
"buyelectronicsbestprice.com,""16-May-2015"",""487.0"",""534"",""393"",""73.59"",""1.76"",""0.0"",""3.29"",""100.0"",""0.0"",""0.0"",""Final"""
"buygoosejacket.com,""16-May-2015"",""15.0"",""8"",""6"",""75.0"",""0.01"",""0.0"",""1.25"",""100.0"",""0.0"",""0.0"",""Final"""
"camoclicks.com,""16-May-2015"",""0.0"",""11"",""6"",""54.54"",""0.12"",""0.02"",""10.9"",""100.0"",""0.0"",""0.0"",""Final"""
"casinopokercloud.com,""16-May-2015"",""13.0"",""13"",""12"",""92.3"",""0.13"",""0.01"",""10.0"",""100.0"",""0.0"",""0.0"",""Final"""
"cheapbootslippers.com,""16-May-2015"",""9.0"",""14"",""10"",""71.42"",""0.01"",""0.0"",""0.71"",""100.0"",""0.0"",""0.0"",""Final"""
"cheapchristianlouboutinstoreforyou.com,""16-May-2015"",""11.0"",""5"",""0"",""0.0"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"cheapwomensskates.com,""16-May-2015"",""9.0"",""17"",""9"",""52.94"",""0.02"",""0.0"",""1.17"",""100.0"",""0.0"",""0.0"",""Final"""
"childrenstennisskirts.com,""16-May-2015"",""13.0"",""10"",""6"",""60.0"",""0.08"",""0.01"",""8.0"",""100.0"",""0.0"",""0.0"",""Final"""
"cinnamonseller.com,""16-May-2015"",""16.0"",""14"",""7"",""50.0"",""0.04"",""0.0"",""2.85"",""100.0"",""0.0"",""0.0"",""Final"""
"civilwarshirt.com,""16-May-2015"",""18.0"",""14"",""11"",""78.57"",""0.04"",""0.0"",""2.85"",""100.0"",""0.0"",""0.0"",""Final"""
"classicbagsnrags.com,""16-May-2015"",""19.0"",""30"",""26"",""86.66"",""0.06"",""0.0"",""2.0"",""100.0"",""0.0"",""0.0"",""Final"""
"cleanandclearproautodetail.com,""16-May-2015"",""14.0"",""9"",""6"",""66.66"",""0.02"",""0.0"",""2.22"",""100.0"",""0.0"",""0.0"",""Final"""
"computerhomerepairservice.com,""16-May-2015"",""49.0"",""10"",""4"",""40.0"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"cordlessphonespanasonic.com,""16-May-2015"",""16.0"",""9"",""9"",""100.0"",""0.01"",""0.0"",""1.11"",""100.0"",""0.0"",""0.0"",""Final"""
"countrysportgym.com,""16-May-2015"",""15.0"",""10"",""7"",""70.0"",""0.01"",""0.0"",""1.0"",""100.0"",""0.0"",""0.0"",""Final"""
"coupongroovy.com,""16-May-2015"",""25.0"",""52"",""25"",""48.07"",""3.19"",""0.12"",""61.34"",""100.0"",""0.0"",""0.0"",""Final"""
"covertclicks.net,""16-May-2015"",""22.0"",""17"",""9"",""52.94"",""0.04"",""0.0"",""2.35"",""100.0"",""0.0"",""0.0"",""Final"""
"cparedirector.com,""16-May-2015"",""11.0"",""7"",""6"",""85.71"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"cultmoviedatabase.com,""16-May-2015"",""28.0"",""17"",""8"",""47.05"",""0.04"",""0.0"",""2.35"",""100.0"",""0.0"",""0.0"",""Final"""
"davidlettermen.com,""16-May-2015"",""13.0"",""13"",""2"",""15.38"",""0.01"",""0.0"",""0.76"",""100.0"",""0.0"",""0.0"",""Final"""
"demodomination.com,""16-May-2015"",""253.0"",""226"",""192"",""84.95"",""1.15"",""0.0"",""5.08"",""100.0"",""0.0"",""0.0"",""Final"""
"demographicdominator.com,""16-May-2015"",""14.0"",""8"",""8"",""100.0"",""0.01"",""0.0"",""1.25"",""100.0"",""0.0"",""0.0"",""Final"""
"discountfloristlasvegas.com,""16-May-2015"",""16.0"",""13"",""6"",""46.15"",""0.04"",""0.0"",""3.07"",""100.0"",""0.0"",""0.0"",""Final"""
"diydividend.com,""16-May-2015"",""14.0"",""13"",""4"",""30.76"",""0.02"",""0.0"",""1.53"",""100.0"",""0.0"",""0.0"",""Final"""
"diydividends.com,""16-May-2015"",""10.0"",""7"",""1"",""14.28"",""0.02"",""0.02"",""2.85"",""100.0"",""0.0"",""0.0"",""Final"""
"doessentialoils.com,""16-May-2015"",""26.0"",""17"",""11"",""64.7"",""0.02"",""0.0"",""1.17"",""100.0"",""0.0"",""0.0"",""Final"""
"driftermotorcycles.com,""16-May-2015"",""4.0"",""11"",""7"",""63.63"",""0.02"",""0.0"",""1.81"",""100.0"",""0.0"",""0.0"",""Final"""
"easypaydaycashusa.com,""16-May-2015"",""633.0"",""11"",""6"",""54.54"",""0.01"",""0.0"",""0.9"",""100.0"",""0.0"",""0.0"",""Final"""
"emichaelkorshandbagsoutlet.com,""16-May-2015"",""14.0"",""9"",""0"",""0.0"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"enjoymyvacation.com,""16-May-2015"",""13.0"",""12"",""4"",""33.33"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"externalharddrivecheap.com,""16-May-2015"",""17.0"",""10"",""9"",""90.0"",""0.02"",""0.0"",""2.0"",""100.0"",""0.0"",""0.0"",""Final"""
"fasttaxicab.com,""16-May-2015"",""25.0"",""7"",""3"",""42.85"",""0.03"",""0.01"",""4.28"",""100.0"",""0.0"",""0.0"",""Final"""
"fatfightingadvice.com,""16-May-2015"",""16.0"",""12"",""4"",""33.33"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"firejailbreak.com,""16-May-2015"",""1.0"",""14"",""9"",""64.28"",""0.01"",""0.0"",""0.71"",""100.0"",""0.0"",""0.0"",""Final"""
"fixedinterestcreditcards.com,""16-May-2015"",""16.0"",""13"",""5"",""38.46"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"foodpandora.com,""16-May-2015"",""405.0"",""515"",""304"",""59.02"",""1.2"",""0.0"",""2.33"",""100.0"",""0.0"",""0.0"",""Final"""
"for-marketers.com,""16-May-2015"",""15.0"",""15"",""9"",""60.0"",""0.4"",""0.04"",""26.66"",""100.0"",""0.0"",""0.0"",""Final"""
"freegadgetreview.com,""16-May-2015"",""14.0"",""10"",""5"",""50.0"",""0.02"",""0.0"",""2.0"",""100.0"",""0.0"",""0.0"",""Final"""
"freelowerping.com,""16-May-2015"",""16.0"",""17"",""15"",""88.23"",""0.03"",""0.0"",""1.76"",""100.0"",""0.0"",""0.0"",""Final"""
"gayrewardscreditcard.com,""16-May-2015"",""18.0"",""10"",""6"",""60.0"",""0.05"",""0.0"",""5.0"",""100.0"",""0.0"",""0.0"",""Final"""
"getraybanwayfareruk.com,""16-May-2015"",""333.0"",""318"",""255"",""80.18"",""3.7"",""0.01"",""11.63"",""100.0"",""0.0"",""0.0"",""Final"""
"golfwizardry.com,""16-May-2015"",""6.0"",""18"",""12"",""66.66"",""0.03"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"halloweencostumeshut.com,""16-May-2015"",""20.0"",""13"",""5"",""38.46"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"happyretirementliving.com,""16-May-2015"",""14.0"",""8"",""4"",""50.0"",""0.01"",""0.0"",""1.25"",""100.0"",""0.0"",""0.0"",""Final"""
"healthandwellnessnewsfeed.com,""16-May-2015"",""26.0"",""14"",""7"",""50.0"",""0.07"",""0.01"",""5.0"",""100.0"",""0.0"",""0.0"",""Final"""
"healtharticlessite.com,""16-May-2015"",""17.0"",""10"",""7"",""70.0"",""0.07"",""0.01"",""7.0"",""100.0"",""0.0"",""0.0"",""Final"""
"healthfitnessbuilder.com,""16-May-2015"",""31.0"",""14"",""2"",""14.28"",""0.01"",""0.0"",""0.71"",""100.0"",""0.0"",""0.0"",""Final"""
"herbalskinhealth.com,""16-May-2015"",""18.0"",""14"",""10"",""71.42"",""0.09"",""0.0"",""6.42"",""100.0"",""0.0"",""0.0"",""Final"""
"hillbillycostumeideas.com,""16-May-2015"",""19.0"",""10"",""3"",""30.0"",""0.01"",""0.0"",""1.0"",""100.0"",""0.0"",""0.0"",""Final"""
"hollidaytours.com,""16-May-2015"",""17.0"",""10"",""7"",""70.0"",""0.04"",""0.0"",""4.0"",""100.0"",""0.0"",""0.0"",""Final"""
"hotelinafrica.com,""16-May-2015"",""9.0"",""18"",""10"",""55.55"",""0.03"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"hottubhauler.com,""16-May-2015"",""17.0"",""8"",""3"",""37.5"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"howtobuildbirdfeeder.com,""16-May-2015"",""16.0"",""13"",""5"",""38.46"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"howtogripagolfclub.net,""16-May-2015"",""10.0"",""18"",""10"",""55.55"",""0.03"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"iloops.net,""16-May-2015"",""27.0"",""13"",""8"",""61.53"",""0.03"",""0.0"",""2.3"",""100.0"",""0.0"",""0.0"",""Final"""
"im-unboxed.com,""16-May-2015"",""18.0"",""16"",""7"",""43.75"",""0.03"",""0.0"",""1.87"",""100.0"",""0.0"",""0.0"",""Final"""
"improvelowcreditscore.com,""16-May-2015"",""25.0"",""13"",""11"",""84.61"",""0.29"",""0.02"",""22.3"",""100.0"",""0.0"",""0.0"",""Final"""
"imunboxed.com,""16-May-2015"",""14.0"",""15"",""6"",""40.0"",""0.04"",""0.0"",""2.66"",""100.0"",""0.0"",""0.0"",""Final"""
"inboxie.com,""16-May-2015"",""232.0"",""187"",""173"",""92.51"",""2.32"",""0.01"",""12.4"",""100.0"",""0.0"",""0.0"",""Final"""
"indoorfitnessgames.com,""16-May-2015"",""13.0"",""13"",""4"",""30.76"",""0.01"",""0.0"",""0.76"",""100.0"",""0.0"",""0.0"",""Final"""
"internetmarketingunboxed.com,""16-May-2015"",""5.0"",""12"",""1"",""8.33"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"invisiclicks.com,""16-May-2015"",""7.0"",""12"",""6"",""50.0"",""0.01"",""0.0"",""0.83"",""100.0"",""0.0"",""0.0"",""Final"""
